INFO: 2025/05/04 16:40:49 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 16:40:55 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 16:47:53 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 16:49:05 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 16:51:34 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 17:18:06 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 17:18:08 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 17:18:09 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 17:19:15 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 21:38:29 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 22:56:39 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
INFO: 2025/05/04 23:05:20 guide_controller.go:449: 获取用户推荐 - 用户ID: 1, 关键词: , 偏移: 0, 限制: 10
